snack_id	name	image	flavor	type_id
46	가루비 BIG BAG 포테이토칩 152g 12봉 일본 감자 스낵 과자	https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/5fbb/c2e71c7589089417eb83cabd5d37bbf79b2b7f7742ac35683a55a11ae78f.jpg	달콤한맛	감자과자
47	가루비 매운 피자 맛 포테이토칩 57g 12봉지	https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/e1b5/7d6615036a2921571333919e3e69a62f9af91e70cc2062dea526066e87b1.jpg	달콤한맛	감자과자
48	가루비 포테이토칩 감자 과자 콘소메 우스시오맛 50gx12개	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/9f04/3a713eb70b13ca4678c1a1bb0825708e8823ba9bba73c61ba7ed44afd088.jpg	달콤한맛	감자과자
49	가루비 포테이토칩 큐슈 간장 감자칩 63gX12봉지	https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3d11/2b6cf73503e916cb30c6ad7edf5609e4a66ebfeabf364fea288cae55c2dc.jpg	달콤한맛	감자과자
50	일본 가루비 감자칩 포테이토 12가지 맛 스낵 과자 모음	https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/237c/309887c8d7d86897d3bd4669e269e10259fa351cb293b2ec445eebbd7abc.jpg	달콤한맛	감자과자
51	가루비 자가비 90g 12봉지 일본 과자 간식 스낵 소금맛 / 버터간장맛	https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/b1cf/a65a4bf4aeea7522cfba790e6db3b89e740dee0378437226238036d5c2c7.jpg	달콤한맛	감자과자
52	(미국과자) Jackson s 고구마 케틀 칩 버라이어티 팩(5oz 4개 팩)	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/16fb/29d6224f41b08d015bd46f2f4516cefcff3d425dd7c129e68daf40ed7967.jpg	달콤한맛	감자과자
53	(미국과자) Jackson s 고구마 케틀 칩 버라이어티 팩(5oz 4개 팩)	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/4c5b/c5163c67cf4678e10bdbe952b99ce238e194ce4da92096bb8f6d992ca607.jpg	달콤한맛	감자과자
54	가루비 감자칩 바삭한 옅은 소금맛 포테이토칩 우스시오 50g 12개 일본 과자 스낵	https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2936/533b7d21429f7bdbfeb21441ae941a6d779334019fc704d48fa393856fa3.jpg	달콤한맛	감자과자
55	일본 가루비 자가리코 아스파라거스베이컨맛 / 치즈맛 L사이즈 66g 12개	https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/e293/ac4ad893b8d38f743c4cd5c9af3a9ec65fe6994fc3ec6208ba99daff14d4.jpg	달콤한맛	감자과자
56	(미국과자) TGI Fridays Potato Skins Snacks 각 3 온스 백 1 개 (6 팩)	https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3db7/686866c99779ae2250fa7c4a9b068dc59dc37d7910811b0d7de1c62358c9.jpg	달콤한맛	감자과자
57	카루비 사야 엔도 블랙 페퍼 맛 55g × 12봉	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f9ef/e00a227dd0120908f19a485a1b8e165112902579088c791f00e2d3a10e14.jpeg	달콤한맛	감자과자
58	프링글스 라이트리 솔티드 칩 5.68 oz (3개 들이)	https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2f5a/e1c02002f7f8594b390c6ccc0afcfa1e52255f986196ca1e695cc23d71bb.jpg	달콤한맛	감자과자
59	가루비 포테이토칩 빅백 일본 감자 스낵 152g 12봉	https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2e83/38ef6c042ccb8f01b0aaf2abdce3776fa804f9bd2e7e49702091feece727.jpg	달콤한맛	감자과자
60	(미국캔디) 앤디 캡스 Andy Capp s 체다 맛 감자 튀김 3 oz 12 팩	https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/6eba/a98ae7d5cc3b31e43a34a663990e85645d0103413b871b36ceb3cfe85ef4.jpg	달콤한맛	감자과자
61	포테토칩 오리지널 4p	https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/08/12/16/6/67203a4d-231a-45d6-9e44-459152748fef.jpg	짭짤한맛	감자과자
62	무뚝뚝감자칩 통후추 소금맛 과자	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1593453182743590-db03143a-e6b1-4626-9081-4b17897d4da6.jpg	짭짤한맛	감자과자
63	프링글스 오리지날 1140g	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/61b3/510da2663b62e020f7ca43a1cb56cceb28c873eebe5893fa1970c1365195.jpg	짭짤한맛	감자과자
64	켈로그 프링글스 치즈맛	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1231823207195863-2ae0b8e7-b0cd-4766-9057-5f3f23bf9d0d.jpg	짭짤한맛	감자과자
65	헌터스고메 수제 감자칩 블랙트러플	https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/nsqbxm5f/276e256b33b44f8bb89d9a5fd1c0572e.png	짭짤한맛	감자과자
66	레이즈 솔트 앤 비네거 감자칩	https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/03/26/11/2/36b565cb-9368-4ce6-8b2a-7f30aae7b990.jpg	짭짤한맛	감자과자
67	무뚝뚝감자칩 통후추 소금맛 과자	https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/95617095927764-22ef44d0-870c-4165-9d98-e00f77498c49.jpg	짭짤한맛	감자과자
68	오리온 무뚝뚝감자칩 통후추 소금맛	https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1595049683014522-31e94582-3ab6-478e-a4ce-9fb02051f820.jpg	짭짤한맛	감자과자
69	오감자 대왕 찍먹 크리미 칠리 소스맛	https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/01/11/9/2/bf933cb9-5e63-4c0c-8490-f49bc651612d.jpg	짭짤한맛	감자과자
