이름,이미지,맛,종류
"가루비 MIINO 누에콩 소금맛 28g 6봉지, 기본",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/eb71/ab00cad1a6e3bab68f55b91caac30a316e013febee8257663cb5dfdb62f0.jpg,달콤한맛,감자과자
"가루비 BIG BAG 포테이토칩 152g 12봉 일본 감자 스낵 과자, 김 맛",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/8b84/bc210fb957c58e74ee90211b78690485a2eb548dec793eb3e82526a0257a.jpg,달콤한맛,감자과자
"일본 가루비 감자칩 포테이토 12가지 맛 스낵 과자 모음, 기본",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/237c/309887c8d7d86897d3bd4669e269e10259fa351cb293b2ec445eebbd7abc.jpg,달콤한맛,감자과자
"가루비 간사이 한정 감자 스낵 타코야키 맛 소스마요 풍미 1상자 8봉지, 기본",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/8606/35f902e9800370b42701e8a5f33c7f8b028a8d95d1002ec4114e52b5a7b9.jpg,달콤한맛,감자과자
"가루비 미노믹스 miinoMIX 검은콩 캐슈넛 소금 맛 27g 12 봉지, 기본",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f13a/021c196a2292a76bfe1a9a6458f4dd826a95582993aa420a9607e3bf787d.jpg,달콤한맛,감자과자
"가루비 감자칩 라이트 크리스피 프라이 포테이토 스낵 65g 12봉, 김 맛",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/92f5/cdfa0043e137164c46638b68ac6d3324665acaf633ba398550543d7b104a.jpg,달콤한맛,감자과자
"닛신 식품 식빵만들기 밀가루 1kg 5 봉지, 기본",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/4da6/26b6b123e5eae4945f27a4c7883430604ad01487bfa3998e30b763da0eac.jpg,달콤한맛,감자과자
"가루비 그릴드 포테이토 칩 65g 12봉지 일본 과자, 단백한 맛",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/517c/c61a72e73af8fa0eedeca5ed1627a1c2f55fbf7175591e0f575e03c9019e.jpg,달콤한맛,감자과자
"가루비 감자 칩 구이 맛 65g x 12봉 일본 과자, 기본",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/03fb/59ed72a906eb4e99c4106d4ca309782b619336d14d43c2648ddc0132b167.jpg,달콤한맛,감자과자
"포테이토 크리스프 바비큐 맛(900g)+씨푸드 맛(900g, 120봉",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3573/42e24bf2f6d81075ea7d93f2e505a9fc3291829325758f3c7e1d5e2e767e.jpg,달콤한맛,감자과자
"일본 가루비 감자칩 5종치즈맛 60g 12봉지, 기본",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/d898/357b9f1269fae9f7ce5eb06a201dfd7d6c145d17248e24ab9280dc44034f.jpg,달콤한맛,감자과자
"가루비 감자칩 라이트 크리스피 프라이 포테이토 스낵 65g 12봉, 담백한 맛",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/517c/c61a72e73af8fa0eedeca5ed1627a1c2f55fbf7175591e0f575e03c9019e.jpg,달콤한맛,감자과자
"가루비 포테이토칩 빅백 일본 감자 스낵 152g 12봉, 콘소메 맛",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2e83/38ef6c042ccb8f01b0aaf2abdce3776fa804f9bd2e7e49702091feece727.jpg,달콤한맛,감자과자
가루비 자가리코 샐러드 비츠 라지 103g 12봉지,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f1b8/36cd047ade2f5d5b984d96f36a26a54b806ca4ea5ade48da74ca5dcd607a.jpg,달콤한맛,감자과자
"가루비 BIG BAG 포테이토칩 152g 12봉 일본 감자 스낵 과자, 단백한 맛",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/5fbb/c2e71c7589089417eb83cabd5d37bbf79b2b7f7742ac35683a55a11ae78f.jpg,달콤한맛,감자과자
"홋카이도 한정 포테이토 포크클 10봉 2박스, 기본",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/5a6e/7e02018e7a1fddd60cf53e680691c2ce846ebc1ef49ed6e4f4e22e01a8c4.jpg,달콤한맛,감자과자
"Pringles 프링글스 타코야키맛 3개, 세트",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/9c7c/2df558d649d7db91b08c9fa6c317e5cc7fe6b887e3d69cf2679202d4fe56.jpg,달콤한맛,감자과자
"가루비 삿포로 포테토칩 샤크 베이컨 맛 50g 12봉지 일본 새우깡, 기본",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/a9b7/eba96af7e246668c8ed8ee09b3d20fbd69a2a43729f72afc8ed5ea143235.jpg,달콤한맛,감자과자
"가루비 miino 소라마메 소금맛 7g 30개입 안주 간식 일본 과자, 기본",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/831d/13cf98321ec5b1b1a22d25ea1b070f8d1e7472df2a2cedb0b57b241a20eb.jpg,달콤한맛,감자과자
"가루비 완두콩 스낵 미니 시야엔도 깔끔한 맛 48g 10봉지, 기본",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/4f4b/8b53994a8405f80dbff18ae66f0ad2e212697c2697a0043b7c3452a32745.jpg,달콤한맛,감자과자
"가루비 일본 감자칩 포테토칩 사워크림 엔 더블어니언 60g 12봉, 기본",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/231c/ff78bd7a70fcacf43eef161107161c476e3e4bb92892ffcec854672a52a8.jpg,달콤한맛,감자과자
"가루비 포테이토칩 블랙페퍼 후추맛 65g 12봉지, 블랙 페퍼",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/453b/a868a68b2902aa802807a2d341fd82a274ff2ddc66aa0540f00d146b0b7c.jpg,달콤한맛,감자과자
"가루비 포테이토칩 바삭한 사워 크림 양파 맛 115g 12개입, 사워 크림과 양파 맛",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/87a2/8fe26c7268ed2df6369821e39717969191b79410c64160ea964fa41ab3ef.jpg,달콤한맛,감자과자
"포테토칩 오리지널 4p, 160g, 8개",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/08/12/16/6/67203a4d-231a-45d6-9e44-459152748fef.jpg,짭짤한맛,감자과자
"오리온 무뚝뚝감자칩 통후추 소금맛, 10개, 60g",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1595049683014522-31e94582-3ab6-478e-a4ce-9fb02051f820.jpg,짭짤한맛,감자과자
"레이즈 솔트 앤 비네거 감자칩, 184.2g, 12개",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/03/26/11/2/36b565cb-9368-4ce6-8b2a-7f30aae7b990.jpg,짭짤한맛,감자과자
"라아부엘라니에베스 포테이토칩, 150g, 12개",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/426307522782596-18ce2a3d-8f9f-44d1-90c3-41b1ff5537e6.jpg,짭짤한맛,감자과자
"켈로그 프링글스 치즈맛, 110g, 12개",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1231823207195863-2ae0b8e7-b0cd-4766-9057-5f3f23bf9d0d.jpg,짭짤한맛,감자과자
"헌터스고메 수제 감자칩 블랙트러플, 25g, 10개",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/nsqbxm5f/276e256b33b44f8bb89d9a5fd1c0572e.png,짭짤한맛,감자과자
"프링글스 오리지날 1140g, 1개",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/61b3/510da2663b62e020f7ca43a1cb56cceb28c873eebe5893fa1970c1365195.jpg,짭짤한맛,감자과자
"오감자 대왕 찍먹 크리미 칠리 소스맛, 65g, 16개",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/01/11/9/2/bf933cb9-5e63-4c0c-8490-f49bc651612d.jpg,짭짤한맛,감자과자
이케아 FESTLIGT 페스틀릭트 감자칩 150g 504.719.84,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/afc5/09edeb4ac7eae237b0ee4e24eed8124867fb9949436bd4fdb345da46acd3.jpg,짭짤한맛,감자과자
"프링글스 오리지날 감자스낵, 53g, 24개",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/958d/33b321ec6e52d4d25550e722c4e9b193e3478677d29f5926306be274d195.jpg,짭짤한맛,감자과자
"미라클세일 해태제과 자가비 짭짤한맛 90g 12개, 1세트",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f626/676f5004789ddcdd7ed675b3a7d86710093917a61125220f7c958712bb76.jpg,짭짤한맛,감자과자
"예감 오리지널, 192g, 16개",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/fbf6/9596dbf83e0625fbe8137e48c014e98a9bbf2ec0d994687ec37182b30010.jpg,짭짤한맛,감자과자
"아미카 엘도라다 올리브오일 감자칩, 130g, 3개",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13178428960835258-7b3f9925-37ef-4d2d-a78f-204484f16b01.jpg,짭짤한맛,감자과자
"감자알칩 치즈마요맛, 42g, 20개",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/12/22/13/2/c8b16156-49b0-45fc-bc98-e10b1540cbe1.jpg,짭짤한맛,감자과자
"오리온 무뚝뚝감자칩 통후추 소금맛, 1개, 60g",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/ba99/9b1cb54acf1d87e2657e788d7f791fc7b9b3a926a4be7f5d9039e7460ead.jpg,짭짤한맛,감자과자
"농심 포스틱 과자, 84g, 20개",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/676446668400856-73c3536f-3ec1-47ff-9e36-22a3e1f1447f.jpg,짭짤한맛,감자과자
"[코스트코] 커클랜드 시그니춰 핑크 솔트 감자칩 907gX2개, 907g, 2개",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/6cec/147ec48c7bbefe9023ae638c19e7799365eb1f7f9c4d47c42cb6bcead612.png,짭짤한맛,감자과자
순감자 글루텐프리 맥주안주 아이간식 감자스틱 국내산 자색 고구마 과자 대용량 150g,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2aa8/4041167842307dde0c1b5ff224d82697ba73d08a79363851d88cae0eb5d8.jpg,짭짤한맛,감자과자
"아미카 엘도라다 오리지널 러플 감자칩, 130g, 3개",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/15028366715235883-6bc92c45-0bb0-4ad5-80ba-909729fa6ba3.jpg,짭짤한맛,감자과자
"예감 오리지널, 64g, 20개",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/9300/59c54e5d12df2e4bb5e48adcca303f3d8a14b5720e861cfd525351cb10ce.jpg,짭짤한맛,감자과자
달곰삼삼 글루텐프리 맥주안주 아이간식 감자스틱 국내산 양파맛 과자 대용량 140g,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/9788/5ae71bb04daaf997e2284c2eeda6ab63074202747a32d7ffd35bb1c15a22.jpg,짭짤한맛,감자과자
"예감 치즈그라탕, 204g, 4개",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/41de/fdea5cb6d2dfa2514317a25807d95f753ce6e9040b83829a09fd53f4ab8a.jpg,짭짤한맛,감자과자
